merchant_id,name,city,category,revenue,rating,is_active,total_transactions,joined_date
MRC-00001,Pak Budi,Surabaya,Health & Beauty,,3.9,True,665,2023-08-27
MRC-00002,Kios Sejahtera,Palembang,Electronics,1050000.0,,True,784,2022-10-24
MRC-00003,Kedai Utama,Medan,Fashion,8500000.0,3.7,True,566,2024-09-10
MRC-00004,Toko Mandiri,Bandung,Home & Living,11200000.0,4.4,True,1071,2021-12-30
MRC-00005,Berkah Store,Jakarta,Health & Beauty,10550000.0,4.6,True,391,2019-01-11
MRC-00006,Toko Sejahtera,Jakarta,Food & Beverage,19700000.0,4.9,False,1465,2022-03-04
MRC-00007,Warung Sentosa,Jakarta,Sports,14650000.0,4.1,True,337,2022-05-07
MRC-00008,Studio Sejahtera,Makassar,Home & Living,9350000.0,4.1,True,682,2024-06-28
MRC-00009,Mandiri Store,Bandung,Education,4950000.0,3.7,True,18,2020-08-31
MRC-00010,Indah Store,Medan,Health & Beauty,700000.0,3.7,True,719,2024-01-04
MRC-00011,Kedai Utama,Jakarta,Electronics,9000000.0,4.1,True,292,2024-06-06
MRC-00012,Barokah Store,Palembang,Fashion,6900000.0,4.4,True,193,2022-11-14
MRC-00013,Makmur Store,Semarang,Education,7450000.0,4.7,True,159,2022-09-23
MRC-00014,Butik Jaya,Jakarta,Home & Living,1150000.0,3.8,False,571,2023-03-26
MRC-00015,Studio Jaya,Jakarta,Food & Beverage,1450000.0,5.0,True,698,2024-02-09
MRC-00016,Segar Store,Jakarta,Food & Beverage,19050000.0,4.1,True,544,2022-08-11
MRC-00017,Mandiri Store,Jakarta,Fashion,5100000.0,4.2,True,475,2021-02-11
MRC-00018,Indah Store,Surabaya,Home & Living,12200000.0,3.8,True,1403,2021-09-05
MRC-00019,Depot Sentosa,Surabaya,Automotive,5550000.0,2.9,True,281,2023-04-18
MRC-00020,Studio Jaya,Jakarta,Food & Beverage,5550000.0,4.7,True,649,2021-08-14
MRC-00021,Bu Rina,Bandung,Electronics,16600000.0,4.6,True,1208,2023-08-10
MRC-00022,Pak Agus,Jakarta,Fashion,2900000.0,4.0,True,429,2019-06-28
MRC-00023,Mandiri Store,Jakarta,Education,6000000.0,4.2,True,575,2022-07-27
MRC-00024,Toko Berkah,Surabaya,Home & Living,3050000.0,4.5,True,515,2024-04-21
MRC-00025,Pak Dedi,Surabaya,Home & Living,3150000.0,3.3,True,186,2023-04-11
MRC-00026,Jaya Store,Semarang,Fashion,3700000.0,3.9,True,462,2023-05-01
MRC-00027,Toko Mulia,Jakarta,Fashion,7000000.0,4.6,True,68,2020-09-15
MRC-00028,Abadi Store,Surabaya,Food & Beverage,3000000.0,3.5,True,264,2024-07-21
MRC-00029,Pak Joko,Bandung,Food & Beverage,24300000.0,4.4,True,702,2019-06-01
MRC-00030,Butik Barokah,Jakarta,Home & Living,1800000.0,3.5,True,659,2020-06-01
MRC-00031,Kios Utama,Bandung,Home & Living,4300000.0,4.5,False,620,2024-08-19
MRC-00032,Bu Dewi,Jakarta,Automotive,3150000.0,4.2,True,410,2022-09-21
MRC-00033,Kedai Sentosa,Jakarta,Automotive,30550000.0,3.3,True,402,2020-02-16
MRC-00034,Pak Dedi,Palembang,Electronics,6800000.0,4.8,True,758,2023-12-09
MRC-00035,Depot Mulia,Palembang,Health & Beauty,,,True,772,2020-02-13
MRC-00036,Lestari Store,Semarang,Education,900000.0,3.8,True,97,2024-11-24
MRC-00037,Pak Rudi,Jakarta,Home & Living,7400000.0,4.3,True,434,2024-02-15
MRC-00038,Pak Dedi,Jakarta,Food & Beverage,15650000.0,4.8,True,391,2019-03-04
MRC-00039,Pak Joko,Medan,Fashion,5900000.0,3.6,True,438,2020-08-13
MRC-00040,Gerai Segar,Surabaya,Food & Beverage,19350000.0,4.2,True,204,2023-08-07
MRC-00041,Butik Mulia,Jakarta,Education,,4.4,True,438,2020-09-24
MRC-00042,Jaya Store,Surabaya,Electronics,29200000.0,,True,1460,2019-11-03
MRC-00043,Butik Sejahtera,Jakarta,Food & Beverage,85000000.0,4.3,True,510,2024-04-07
MRC-00044,Pak Hendra,Makassar,Health & Beauty,3450000.0,4.0,True,63,2021-12-21
MRC-00045,Lestari Store,Jakarta,Electronics,3150000.0,3.7,True,47,2022-10-18
MRC-00046,Pak Hendra,Bandung,Fashion,30800000.0,4.2,True,748,2023-06-17
MRC-00047,Kios Makmur,Jakarta,Food & Beverage,35850000.0,3.6,True,255,2019-11-25
MRC-00048,Kios Utama,Surabaya,Health & Beauty,2850000.0,2.6,False,300,2022-09-07
MRC-00049,Bu Wati,Bandung,Electronics,3250000.0,4.4,True,122,2024-12-25
MRC-00050,Bu Wati,Jakarta,Health & Beauty,3800000.0,4.7,False,536,2023-04-06
MRC-00051,Sejahtera Store,Palembang,Electronics,1050000.0,2.9,True,226,2022-07-21
MRC-00052,Depot Jaya,Medan,Home & Living,1750000.0,3.6,False,170,2024-06-21
MRC-00053,Toko Makmur,Palembang,Electronics,1600000.0,4.5,True,647,2019-05-28
MRC-00054,Bu Sari,Makassar,Electronics,2100000.0,5.0,True,160,2019-10-08
MRC-00055,Bu Wati,Bandung,Sports,5150000.0,4.2,True,188,2021-08-19
MRC-00056,Pak Budi,Palembang,Fashion,7100000.0,3.8,True,94,2022-03-23
MRC-00057,Mulia Store,Jakarta,Food & Beverage,34600000.0,4.1,True,642,2021-07-20
MRC-00058,Pak Hendra,Jakarta,Food & Beverage,1600000.0,5.0,True,17,2020-01-06
MRC-00059,Bu Rina,Jakarta,Health & Beauty,17550000.0,3.8,True,1460,2023-11-13
MRC-00060,Bu Ani,Jakarta,Electronics,4150000.0,3.8,True,442,2020-02-08
MRC-00061,Pak Rudi,Surabaya,Health & Beauty,5050000.0,3.9,False,542,2020-02-16
